#,Release Date,Title,Instructor,Price,Product Type,Tags,URL
741,2020-11-05,"The Devil Is In The Details Gi Chokes by Paul Tom","Paul Tom",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Paul Tom, GTIN, MC_Submissions, New, SC_Submissions_Chokes, Show_More_App",https://bjjfanatics.com/products/the-devil-is-in-the-details-gi-chokes-by-paul-tom
742,2020-11-05,"Spider Guard Mastery by Michael Langhi","Michael Langhi",79.00,"COMBO","above-30, above-60, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Michael Langhi, GTIN, MC_Guard, New, SC_Guard_Spider_Guard, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/spider-guard-mastery-by-michael-langhi
743,2020-11-05,"Diamond Concept : Side control and Mount Escapes Plus: Modern Hip Escaping and Vortex Strengthening Exercises by Xande Ribeiro","Xande Ribeiro",97.00,"COMBO","above-30, above-60, auto-best-seller, best_sellers_two_years, bestsellers-new, Facebook, featured-bestsellers, Fighter_Xande Ribeiro, GTIN, MC_Fundamentals, MC_Guard, New, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/xandes-diamond-guard-frame-shield-elegant-pedal-by-xande-ribeiro
744,2020-11-05,"The Complete Guide To The Single Leg by Zack Esposito","Zack Esposito",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Zack Esposito, GTIN, MC_Wrestling, New, Show_More_App",https://bjjfanatics.com/products/the-complete-guide-to-the-single-leg-by-zack-esposito
745,2020-11-05,"No-Gi Brazilian Jiu-Jitsu Sweeping System by Troy Manning","Troy Manning",79.00,"COMBO","above-30, above-60, Facebook, Fighter_Troy Manning, MC_Guard, New, SC_Guard_Half_Guard, Show_More_App",https://bjjfanatics.com/products/no-gi-brazilian-jiu-jitsu-sweeping-system-by-troy-manning
746,2020-11-05,"Gold Medal Fundamental Offense by Adeline Gray","Adeline Gray",79.00,"COMBO","above-30, above-60, best_sellers_two_years, Facebook, Fighter_Adeline Gray, MC_Wrestling, New, Show_More_App",https://bjjfanatics.com/products/gold-medal-fundamental-offense-by-adeline-gray
747,2020-11-05,"Jiu-Jitsu For Beginners 0-6 Months by Pete Letsos","Pete Letsos",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Pete Letsos, GTIN, MC_Fundamentals, New, Pete ""The Greek"" Letsos, Pete The Greek, Show_More_App, The Greek",https://bjjfanatics.com/products/jiu-jitsu-for-beginners-0-6-months-by-pete-letsos
748,2020-11-05,"Jiu-Jitsu For Beginners 6-12 Months by Pete Letsos","Pete Letsos",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Pete Letsos, MC_Fundamentals, New, Pete ""The Greek"" Letsos, Pete The Greek, Show_More_App, The Greek",https://bjjfanatics.com/products/jiu-jitsu-for-beginners-6-12-months-by-pete-letsos
749,2020-11-05,"Greek Style Guard Passing by Pete Letsos","Pete Letsos",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Pete Letsos, MC_Guard_Passing, New, Pete ""The Greek"" Letsos, pete the greek, Show_More_App, The Greek",https://bjjfanatics.com/products/greek-style-guard-passing-by-pete-letsos
750,2020-11-05,"Choking Around by Pete Letsos","Pete Letsos",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Pete Letsos, MC_Submissions, New, Pete ""The Greek"" Letsos, pete the greek, SC_Submissions_Chokes, Show_More_App, The Greek",https://bjjfanatics.com/products/choking-around-by-pete-letsos
751,2020-11-05,"Dominating From Side Control by Pete Letsos","Pete Letsos",97.00,"COMBO","above-30, above-60, Facebook, Fighter_Pete Letsos, MC_Side_Control_Attacks, New, Pete ""The Greek"" Letsos, Pete The Greek, Show_More_App, The Greek",https://bjjfanatics.com/products/dominating-from-side-control-by-pete-letsos
752,2020-11-05,"Feet To Floor Volume 2 by John Danaher","John Danaher",197.00,"COMBO","above-100, above-130, above-160, above-30, above-60, auto-best-seller, bestsellers-new, Facebook, featured-bestsellers, Fighter_John Danaher, GTIN, John Danaher, level-3, MC_Fundamentals, MC_Takedowns, New, SC_Takedowns_Gi_Takedowns, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/feet-to-floor-volume-2-by-john-danaher
753,2020-11-09,"The Sport of Kings: High Performance Mindset For Grappling by Gordon Ryan","Gordon Ryan",150.00,"COMBO","above-100, above-130, above-30, above-60, auto-best-seller, bestsellers-new, Facebook, featured-bestsellers, Fighter_Gordon Ryan, GTIN, MC_Mindset, New, Show_More_App",https://bjjfanatics.com/products/the-sport-of-kings-high-performance-mindset-for-grappling-by-gordon-ryan
754,2020-11-14,"Arm Drag Arsenal by Matt D'Aquino","Matt D'Aquino",79.00,"COMBO","above-30, above-60, Facebook, Fighter_Matt D'Aquino, MC_Guard, New, Show_More_App",https://bjjfanatics.com/products/arm-drag-arsenal-by-matt-daquino
755,2020-11-14,"Buster Guard The Omoplata Funnel by Lou Armezzani","Lou Armezzani",47.00,"COMBO","above-30, best_sellers_two_years, Facebook, Fighter_Lou Armezzani, MC_Guard, MC_Submissions, New, SC_Guard_Closed_Guard, SC_Guard_Half_Guard, SC_Submissions_Arm_Attacks, Show_More_App, TopBestSeller",https://bjjfanatics.com/products/buster-guard-the-omoplata-funnely-by-lou-armezzani
